,ids
8240,40334345
8241,39547914
8242,36762637
8243,40137749
8244,37057560
8245,37975073
8246,37123109
8247,40137767
8248,18609191
8249,25261101
8250,28472377
8251,35910713
8252,37155897
8253,27849785
8254,25064515
8255,31618117
8256,27489353
8257,28079181
8258,24376400
8259,21623896
8260,22770779
8261,37811297
8262,25949285
8263,35353705
8264,21230704
8265,33453179
8266,11236476
8267,36762753
8268,12448898
8269,25785477
8270,2782345
8271,5862540
8272,19952780
8273,40596645
8274,27751590
8275,32896171
8276,28832946
8277,12022963
8278,25916599
8279,20378811
8280,38958268
8281,32076991
8282,37156035
8283,32240836
8284,34043080
8285,9237713
8286,32208083
8287,15987927
8288,1995991
8289,17626341
8290,27784422
8291,33617125
8292,21984500
8293,39974138
8294,19526921
8295,6780171
8296,38073617
8297,12252435
8298,30930197
8299,31356183
8300,25326871
8301,39318808
8302,34207006
8303,15496483
8304,38925609
8305,18871593
8306,26866986
8307,36533548
8308,40203568
8309,37778741
8310,35517765
8311,35255630
8312,13890897
8313,35845457
8314,30799187
8315,37254490
8316,26408284
8317,35648866
8318,14349670
8319,17429863
8320,38794598
8321,21427563
8322,23983468
8323,25261419
8324,21263727
8325,23590263
8326,31290746
8327,40203644
8328,4912516
8329,37942661
8330,32470405
8331,30504328
8332,36042124
8333,718224
8334,12809618
8335,32044451
8336,20379044
8337,40203688
8338,11433385
8339,40236458
8340,20936110
8341,19985841
8342,19363258
8343,19199419
8344,21525948
8345,32011709
8346,34567612
8347,14841279
8348,17921473
8349,7075266
8350,40531397
8351,3634631
8352,21263821
8353,37811662
8354,6321615
8355,28079567
8356,28833234
8357,26080730
8358,10548699
8359,38893018
8360,17626590
8361,28538337
8362,39646690
8363,23754213
8364,29095405
8365,15889904
8366,13694448
8367,34305526
8368,23328247
8369,14611960
8370,38893048
8371,2979322
8372,10515964
8373,29259262
8374,15889919
8375,35681792
8376,27489795
8377,4257285
8378,14546442
8379,33388044
8380,7239181
8381,40695311
8382,27162130
8383,6288917
8384,24737302
8385,30012951
8386,25687574
8387,14382622
8388,11433502
8389,29947430
8390,20543019
8391,30570029
8392,14186032
8393,1635889
8394,38893104
8395,32077363
8396,30537269
8397,19625538
8398,35845701
8399,21886537
8400,38925904
8401,37320273
8402,1242709
8403,3143254
8404,18708060
8405,31651421
8406,12482142
8407,28440161
8408,16053858
8409,40531556
8410,40990317
8411,37287534
8412,40990320
8413,7599732
8414,40760964
8415,31192709
8416,21788299
8417,22804115
8418,27850387
8419,9434777
8420,17168028
8421,40760991
8422,29652641
8423,35419811
8424,39581350
8425,39319206
8426,40531630
8427,33617583
8428,16053938
8429,37549748
8430,35518133
8431,13137589
8432,23754423
8433,14120628
8434,29947578
8435,16709311
8436,40761030
8437,13858506
8438,27752141
8439,3897045
8440,19658454
8441,29488858
8442,40761052
8443,4617955
8444,35190499
8445,19101426
8446,6026996
8447,38434554
8448,33158909
8449,6059776
8450,6846209
8451,25949955
8452,8353542
8453,5863177
8454,29685513
8455,39778057
8456,24016656
8457,31192849
8458,37091094
8459,39450393
8460,36173606
8461,31651624
8462,38074156
8463,8255282
8464,32438068
8465,22214464
8466,34568002
8467,35092291
8468,30504773
8469,7763782
8470,39974727
8471,32864072
8472,22148940
8473,35845966
8474,1931087
8475,21985108
8476,29357917
8477,26638174
8478,29063007
8479,40466272
8480,33191777
8481,27424616
8482,37287784
8483,16742255
8484,27850608
8485,29357937
8486,40531829
8487,31717239
8488,33879930
8489,35452797
8490,7600001
8491,3176328
8492,22673292
8493,16545677
8494,5601166
8495,23295901
8496,15464357
8497,40531882
8498,35190702
8499,40138671
8500,26474418
8501,27031481
8502,39024578
8503,3241929
8504,33421261
8505,27785167
8506,39057363
8507,18151380
8508,15726549
8509,27490262
8510,12220376
8511,20379610
8512,25950171
8513,1046494
8514,17070047
8515,40531940
8516,36730853
8517,35616746
8518,32307179
8519,4225006
8520,39254001
8521,38696947
8522,30707
8523,38074362
8524,39614465
8525,35715075
8526,35846149
8527,35846172
8528,3667996
8529,8583203
8530,35256357
8531,14612521
8532,37779498
8533,27228203
8534,33421356
8535,36567086
8536,19101743
8537,27490351
8538,37484594
8539,33749042
8540,16054326
8541,3373118
8542,16873536
8543,39090243
8544,40728647
8545,24868939
8546,37058637
8547,24246353
8548,37288022
8549,40859740
8550,7075936
8551,8747106
8552,27424869
8553,37091430
8554,32471144
8555,686185
8556,31225961
8557,5273709
8558,29882478
8559,39319667
8560,35518584
8561,38074499
8562,30013572
8563,39745683
8564,10254486
8565,15988886
8566,23623835
8567,24541340
8568,37288096
8569,15300771
8570,36239526
8571,32176297
8572,27490479
8573,36599991
8574,35846336
8575,40466627
8576,12581064
8577,40532171
8578,13531342
8579,36075729
8580,325842
8581,30439638
8582,35092695
8583,35059935
8584,40466655
8585,19658989
8586,40532205
8587,37288175
8588,14186740
8589,36174069
8590,38664439
8591,21690615
8592,37320954
8593,4978940
8594,35387656
8595,35846414
8596,15399186
8597,27785491
8598,14711066
8599,40761627
8600,3111197
8601,27785505
8602,21756200
8603,29194537
8604,29391145
8605,37288233
8606,34863400
8607,2062638
8608,34601264
8609,36567345
8610,33159474
8611,10090801
8612,33159479
8613,12548411
8614,38730046
8615,33159486
8616,32307519
8617,35060034
8618,36796742
8619,33159494
8620,36108617
8621,36698456
8622,25033049
8623,32569689
8624,37157210
8625,39254364
8626,27490653
8627,4258145
8628,33913186
8629,37910894
8630,27130224
8631,25983351
8632,20117882
8633,15858046
8634,8419716
8635,8223109
8636,39647623
8637,1177993
8638,26638729
8639,26737041
8640,13859218
8641,18708881
8642,38795669
8643,8616342
8644,27359639
8645,33421720
8646,29161887
8647,35846560
8648,32307615
8649,19069348
8650,38599078
8651,33749416
8652,40761775
8653,14416305
8654,41023937
8655,36043210
8656,27130315
8657,40991185
8658,18610650
8659,32307681
8660,40532453
8661,36141541
8662,1964520
8663,37878249
8664,40040941
8665,6552046
8666,35387889
8667,27458041
8668,7764474
8669,17791482
8670,10811900
8671,22116860
8672,15694333
8673,35387909
8674,22706699
8675,20707853
8676,34830862
8677,37714454
8678,16382486
8679,10943002
8680,27490848
8681,2619937
8682,27490851
8683,37091876
8684,39582243
8685,38926885
8686,38926892
8687,26802733
8688,27130424
8689,36272709
8690,4979274
8691,4192849
